fisher1,fisher10,fisher11,fisher12,fisher13,fisher14,fisher15,fisher16,fisher17,fisher18,fisher19,fisher2,fisher20,fisher3,fisher4,fisher5,fisher6,fisher7,fisher8,fisher9,total_catch_kg,total_biomass_kg,biomass_inside_MPA_kg,biomass_outside_MPA_kg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60171.54343964635,4652.63488323407,55518.90855641228
26.3018826,0.0,0.0,103.01207076000003,99.08920538599911,75.99746592000002,0.0,68.25155256,63.576784260143384,44.39667672,45.03665124000001,0.0,37.622876760000004,0.0,24.208521840000003,36.44485292444243,0.0,39.14732592000001,57.81999348000001,91.06562709542104,811.971487466006,59793.48450204224,4763.630869394092,55029.853632648155
0.0,29.683291293447887,24.956713736060543,72.52675807168185,26.535381976420112,0.0,111.32382096,0.0,35.148330000000016,0.0,46.43722320774239,0.0,0.0,34.603326360000004,20.93340996,0.0,55.936815788821136,0.0,15.862634999999997,39.057374065999085,513.005080420173,59624.14099298614,4768.677731265902,54855.46326172024
21.018320640000006,5.883347520000001,0.0,60.44040787168183,0.0,18.73077696,43.11947196,43.74000000000001,51.42811824000002,30.263906879999993,32.48128278014339,0.0,68.34140748000002,75.85426470311336,19.48610360236004,7.971615,0.0,9.082436039999997,0.0,0.0,487.84145967729864,59478.564322561426,4828.656643648669,54649.90767891276
26.833006079999997,0.0,31.636438920000003,70.81594382250341,78.92515584000003,14.904139319999999,18.95164128000002,0.0,21.870000000000005,28.047461760000004,45.91233252000001,0.0,21.870000000000005,0.0,27.899209080000006,0.0,73.67148452236007,21.870000000000005,6.63676092,60.56675856000001,550.4103326248636,59249.77699811299,4708.883156763135,54540.893841349854
33.416570468821135,0.0,0.0,0.0,4.081466879999994,0.0,45.604079948821095,0.0,78.93115398014339,5.189226120000001,47.84671296000002,23.58518805542103,48.05742312000004,0.0,68.46351336,14.478202440000004,30.147360840000005,38.98246176000001,32.30531424,10.935000000000002,482.0236741732067,59179.01402932183,4738.318465072627,54440.6955642492
0.0,58.95956952000001,0.0,0.0,0.0,95.73281136000003,0.0,45.51943068000003,82.99099620000004,0.0,0.0,118.40577387937417,37.40577732,0.0,60.987262167692364,32.80500000000001,34.224923520000004,10.19527235999999,47.458279345999074,18.02285923168182,642.7079555847475,58851.67949498762,4788.307074671716,54063.37242031591
10.935000000000002,0.0,0.0,134.69792436108548,13.729798980143386,16.818347520000003,0.0,10.50340607999999,0.0,40.60077696000002,26.937713160000015,0.0,78.00693491044152,71.12928815999999,0.0,30.439832891087846,0.0,0.0,73.21089379168183,0.0,507.00991681444,58575.99636370047,4878.570422134159,53697.42594156631
0.0,94.99237789108787,39.136000256060534,147.05212983567384,0.0,0.0,0.0,61.00663068,0.0,43.674266879999976,11.202601320000014,20.017436040000007,0.0,36.14921460000002,0.0,0.0,18.45478080000001,14.79389184,23.76814103999999,19.067228771087855,529.3146999539101,58292.453001795235,4903.624735284416,53388.82826651082
21.870000000000005,0.0,44.38396944,64.58615999999984,53.59248683999999,32.80500000000001,79.3595861360605,0.0,47.653032240000016,28.047461760000004,0.0,0.0,27.193423680000024,0.0,107.89438788000004,45.162334079999994,0.0,0.0,0.0,13.708177559999996,566.2560196160604,57997.168278262536,4990.6059901851895,53006.562288077344
