Week,Total_Fish_Agents,Larval_Count,Juvenile_Count,Adult_Count,Weekly_Catch_KG,Weekly_Profit_Rs
89,10175,2793,2259,5123,10046.189768031752,-2366485.6531361584
90,10059,2731,2258,5070,7069.087717524855,-2832669.9168222584
91,9939,2673,2257,5009,7078.397236835472,-2817701.781582676
92,9791,0,2604,7187,8337.867239106996,-2624354.885549123
93,9722,0,2600,7122,8357.42210349727,-2624798.573808674
94,9664,0,2599,7065,10044.352444890861,-2350400.3522043023
95,9603,0,2598,7005,5932.603187738345,-2982591.4033684633
96,9535,0,2598,6937,8131.53070961025,-2651609.1889955676
97,9473,0,2593,6880,8646.84527679989,-2587908.506777427
98,9420,0,2589,6831,8172.49452255164,-2657010.4189205407
99,9349,0,2586,6763,5998.868806886356,-2986856.473700488
100,9282,0,2584,6698,8250.413894524645,-2642956.172113091
101,9198,0,2584,6614,6063.891658266703,-2963423.7676092763
102,9112,0,2581,6531,7518.201345468984,-2747101.3281785427
103,9025,0,2578,6447,9258.21819380442,-2460224.873348155
104,8934,0,2577,6357,8201.109840914913,-2630340.2311757794
105,8858,0,2576,6282,10705.812038308506,-2285251.7913697246
106,8790,0,2574,6216,7464.613859722135,-2802914.8705377947
107,8715,0,2571,6144,7503.147870499124,-2743112.6237340276
108,8624,0,2568,6056,8355.819368094204,-2612609.910964105
109,8530,0,2566,5964,8003.612521263395,-2689631.3537056153
110,8462,0,2563,5899,9347.17948880244,-2478319.6546840174
111,8370,0,2560,5810,6755.756264650396,-2854577.4607532453
112,8289,0,2559,5730,9804.430293650208,-2407188.8178721815
113,8221,0,2558,5663,8443.984147949568,-2637520.40836598
114,8146,0,2555,5591,6747.433420908738,-2871389.6291891322
115,8090,0,2555,5535,10061.665479904896,-2380218.6798889083
116,8032,0,2553,5479,6974.084394662876,-2820867.7604289316
117,7945,0,2546,5399,5947.531275461855,-2984305.0937643326
118,7896,0,2546,5350,9586.815244035999,-2442130.438148503
119,7840,0,2544,5296,6392.197938548958,-2937752.7457160107
